Gold Mine Production (tonnes),,,,,,,,,,,,,,,
Source: Metals Focus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sub-total,330.5,344.0,367.2,399.5,403.2,416.9,444.9,478.7,500.9,541.6,555.7,558.5,571.4,571.2,583.9
,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,
China,351.1,371.2,413.3,438.4,462.0,460.3,463.7,429.1,404.1,383.2,368.3,332.0,375.0,378.2,380.2
Indonesia,132.3,110.2,82.6,90.0,93.5,115.1,118.4,119.5,153.0,98.2,100.9,105.0,129.5,132.4,140.1
Philippines,40.8,38.1,30.8,29.2,28.4,30.6,36.7,44.7,42.8,34.6,25.6,28.0,38.6,40.8,38.8
Turkey,16.4,24.0,29.4,33.5,31.2,28.2,24.4,24.7,22.9,37.1,41.5,39.4,30.9,36.5,30.6
Mongolia,14.0,13.3,14.2,19.7,32.0,32.8,21.3,22.5,22.6,16.3,20.2,19.2,19.4,14.9,12.6
Laos,5.5,4.3,6.8,7.2,5.6,7.2,7.1,6.4,5.9,5.6,5.8,12.1,11.1,9.8,9.9
Other,44.6,45.1,46.1,45.9,47.1,48.1,47.5,46.1,48.5,51.1,47.9,47.5,48.3,50.2,52.7
Sub-total,604.7,606.3,623.2,663.9,699.8,722.4,719.2,693.0,699.8,626.1,610.3,583.2,652.8,662.6,664.9
,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,
Australia,256.7,258.7,250.4,267.1,274.0,279.2,287.7,292.5,313.0,325.1,328.0,307.2,306.3,296.1,284.0
Papua New Guinea,69.7,63.8,59.0,64.6,58.4,60.9,62.9,63.0,67.1,71.2,52.5,40.9,41.5,41.3,49.8
New Zealand,12.3,11.8,10.0,12.5,12.0,12.7,9.9,10.3,10.0,8.2,5.9,5.8,6.7,6.8,6.6
Other,2.0,3.4,3.6,3.1,2.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,3.3,5.3
Sub-total,340.7,337.7,323.0,347.3,346.4,354.3,362.0,367.4,391.7,406.1,387.8,355.4,356.2,347.5,345.7
,,,,,,,,,,,,,,,
TOTAL,"2,831.1","2,928.7","3,002.2","3,180.3","3,271.5","3,362.4","3,516.2","3,580.6","3,658.4","3,606.1","3,482.7","3,575.1","3,645.4","3,639.6","3,661.0"
